songs	artists	album	release date	image
brutal	Olivia Rodrigo	SOUR	2021-05-21	['https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00001e02a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a']
traitor	Olivia Rodrigo	SOUR	2021-05-21	['https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00001e02a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a']
drivers license	Olivia Rodrigo	SOUR	2021-05-21	['https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00001e02a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a']
1 step forward, 3 steps back	Olivia Rodrigo	SOUR	2021-05-21	['https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00001e02a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a']
deja vu	Olivia Rodrigo	SOUR	2021-05-21	['https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00001e02a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a']
good 4 u	Olivia Rodrigo	SOUR	2021-05-21	['https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00001e02a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a']
enough for you	Olivia Rodrigo	SOUR	2021-05-21	['https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00001e02a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a']
happier	Olivia Rodrigo	SOUR	2021-05-21	['https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00001e02a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a']
jealousy, jealousy	Olivia Rodrigo	SOUR	2021-05-21	['https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00001e02a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a']
favorite crime	Olivia Rodrigo	SOUR	2021-05-21	['https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00001e02a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a']
hope ur ok	Olivia Rodrigo	SOUR	2021-05-21	['https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00001e02a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a']
I Wanna Be Yours	Arctic Monkeys	AM	2013-09-09	['https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163', 'https://i.scdn.co/image/ab67616d00001e024ae1c4c5c45aabe565499163', 'https://i.scdn.co/image/ab67616d000048514ae1c4c5c45aabe565499163']
505	Arctic Monkeys	Favourite Worst Nightmare	2007-04-22	['https://i.scdn.co/image/ab67616d0000b273b1f8da74f225fa1225cdface', 'https://i.scdn.co/image/ab67616d00001e02b1f8da74f225fa1225cdface', 'https://i.scdn.co/image/ab67616d00004851b1f8da74f225fa1225cdface']
Do I Wanna Know	Arctic Monkeys	AM	2013-09-09	['https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163', 'https://i.scdn.co/image/ab67616d00001e024ae1c4c5c45aabe565499163', 'https://i.scdn.co/image/ab67616d000048514ae1c4c5c45aabe565499163']
Why'd You Only Call Me When You're High	Arctic Monkeys	AM	2013-09-09	['https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163', 'https://i.scdn.co/image/ab67616d00001e024ae1c4c5c45aabe565499163', 'https://i.scdn.co/image/ab67616d000048514ae1c4c5c45aabe565499163']
R U Mine	Arctic Monkeys	AM	2013-09-09	['https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163', 'https://i.scdn.co/image/ab67616d00001e024ae1c4c5c45aabe565499163', 'https://i.scdn.co/image/ab67616d000048514ae1c4c5c45aabe565499163']
